timestamp,cpu,memory,disk_read,disk_write,event
1764966024.974498,36.8,79.3,1409734250496,718109900800,
1764966025.9755003,34.1,79.6,1409734250496,718109900800,
1764966026.9766095,52.0,81.8,1409734250496,718109900800,
1764966027.9779215,47.2,82.2,1409734250496,718109900800,
1764966028.9788795,35.4,83.3,1409734815744,718110498816,
1764966029.9801297,40.2,83.3,1409735380992,718110507008,
1764966030.9812963,56.5,81.9,1409735380992,718110531584,
1764966031.9823005,34.8,81.8,1409735946240,718110531584,
1764966032.9837387,32.6,79.0,1409735946240,718110531584,
1764966033.9849882,59.4,81.3,1409735946240,718110531584,
1764966034.985929,49.9,81.6,1409735946240,718111137792,
1764966035.9869301,36.2,83.4,1409736552448,718121287680,
1764966036.9879997,41.0,82.7,1409737142272,718121287680,
1764966037.988996,55.3,80.0,1409737142272,718121287680,
1764966038.9902453,34.6,81.0,1409737707520,718121287680,
1764966039.9912422,35.6,78.6,1409737707520,718122123264,
1764966040.992253,62.1,81.1,1409737707520,718122123264,
1764966041.9934998,46.3,81.2,1409737707520,718122123264,
1764966042.9944987,34.9,82.6,1409738280960,718122123264,
1764966043.9955828,43.0,82.5,1409738846208,718122123264,
1764966044.9970376,53.0,79.9,1409738846208,718122663936,
1764966045.9980335,35.0,81.6,1409739411456,718122663936,
1764966046.9991474,37.0,79.6,1409739411456,718122663936,
1764966048.0002775,63.7,81.4,1409739427840,718122663936,
1764966049.0012717,44.2,81.6,1409739583488,718122663936,
1764966050.0022388,34.5,83.3,1409740140544,718123204608,
1764966051.0032432,45.0,84.7,1409740697600,718123204608,
1764966052.0042095,51.2,79.5,1409740697600,718136066048,
1764966053.005141,34.9,82.0,1409741262848,718136066048,
1764966054.006463,36.5,79.4,1409741262848,718136066048,
1764966055.0083098,63.0,81.3,1409741271040,718136942592,
1764966056.0094335,43.4,81.2,1409741312000,718136942592,
1764966057.0106804,36.2,83.3,1409742876672,718136942592,
1764966058.0117254,46.0,82.0,1409742958592,718136942592,
1764966059.0126982,52.4,82.6,1409743507456,718136942592,
1764966060.0134764,33.9,81.1,1409744056320,718137524224,
1764966061.0145178,35.7,78.8,1409744056320,718137524224,
1764966062.015678,65.9,81.0,1409744072704,718138228736,
1764966063.0169158,38.8,81.1,1409744334848,718138228736,
1764966064.0178924,35.3,82.2,1409744875520,718138228736,
1764966065.0192466,49.0,80.7,1409744875520,718138228736,
1764966066.0203896,51.3,82.7,1409745416192,718138425344,
1764966067.0213516,33.7,81.8,1409746227200,718138982400,
1764966068.022348,36.2,79.0,1409746227200,718138982400,
1764966069.023358,62.4,81.2,1409746259968,718138982400,
1764966070.024167,38.9,82.2,1409746259968,718138982400,
1764966071.0251043,35.2,83.6,1409746792448,718138982400,
1764966072.026027,49.5,81.7,1409746800640,718152728576,
1764966073.0270085,50.0,82.7,1409747333120,718152728576,
1764966074.0279384,35.0,81.3,1409747865600,718152728576,
1764966075.0291052,35.3,79.2,1409747873792,718152728576,
1764966076.0302334,62.9,80.6,1409747873792,718152941568,
1764966077.031261,36.0,81.1,1409747873792,718153588736,
1764966078.0325108,34.5,82.3,1409748406272,718153588736,
1764966079.0343344,57.7,81.5,1409748406272,718153613312,
1764966080.0353053,48.7,81.8,1409748930560,718153613312,
1764966081.0363324,33.9,83.5,1409749463040,718153613312,
1764966082.0379846,43.3,80.8,1409749848064,718154244096,
1764966083.0389647,62.2,80.5,1409749848064,718154244096,
1764966084.040182,37.4,80.5,1409749864448,718154244096,
1764966085.0411522,34.4,82.3,1409750380544,718154244096,
1764966086.0422459,52.1,84.1,1409750396928,718154244096,
1764966087.04319,42.2,81.9,1409750478848,718165049344,
1764966088.044178,34.5,84.4,1409750994944,718165876736,
1764966089.0453036,43.0,82.4,1409751502848,718165876736,
1764966090.046774,55.1,79.7,1409751543808,718165876736,
1764966091.0479329,35.1,81.4,1409751543808,718165876736,
1764966092.0489607,36.8,82.7,1409752051712,718165876736,
1764966093.049959,59.1,82.2,1409752051712,718166482944,
1764966094.0510333,39.9,81.7,1409752051712,718166482944,
1764966095.0519915,33.6,84.1,1409753059328,718166482944,
1764966096.0531557,46.6,79.7,1409753059328,718166482944,
1764966097.0543897,47.5,79.4,1409753059328,718166482944,
1764966098.0553832,34.2,81.9,1409753559040,718167138304,
1764966099.0566669,39.1,83.4,1409753559040,718167138304,
1764966100.0577457,63.0,81.4,1409753567232,718167138304,
1764966101.0589027,37.1,81.7,1409753567232,718167162880,
1764966102.0595922,34.4,82.9,1409754058752,718167162880,
1764966103.0608318,50.2,83.1,1409754550272,718167646208,
1764966104.0618482,40.1,79.8,1409754558464,718167646208,
1764966105.0628417,33.2,81.8,1409755041792,718167646208,
1764966106.064058,43.7,80.4,1409755041792,718167654400,
1764966107.065013,60.9,80.2,1409755041792,718167654400,
1764966108.0659578,34.4,81.2,1409755041792,718180057088,
1764966109.0672174,35.1,83.1,1409755525120,718180057088,
1764966110.0682487,53.8,83.2,1409756008448,718180057088,
1764966111.069399,36.3,82.3,1409756516352,718180057088,
1764966112.0704062,31.4,78.5,1409756516352,718180057088,
1764966113.0715554,50.9,80.8,1409756516352,718180917248,
1764966114.0725305,58.3,80.9,1409756532736,718180917248,
1764966115.0738614,34.3,81.5,1409756532736,718180917248,
1764966116.0748796,37.1,84.0,1409757024256,718180917248,
1764966117.0759265,56.7,83.2,1409757499392,718180917248,
1764966118.0770376,34.6,81.0,1409757990912,718181376000,
1764966119.0779712,31.3,78.7,1409757990912,718181376000,
1764966120.0791163,49.7,80.7,1409757990912,718181376000,
1764966121.0801632,52.2,80.8,1409757990912,718181376000,
1764966122.081138,37.1,81.7,1409757990912,718181376000,
1764966123.082192,37.3,84.2,1409758466048,718192132096,
1764966124.0832543,55.9,84.0,1409758941184,718192132096,
1764966125.0842226,32.3,81.4,1409759391744,718192132096,
1764966126.0851445,31.7,79.7,1409759391744,718192132096,
1764966127.0864148,46.8,81.4,1409759391744,718192132096,
1764966128.087706,52.7,80.7,1409759391744,718192934912,
1764966129.088737,34.8,81.8,1409759391744,718192934912,
1764966130.0903761,37.9,84.2,1409759842304,718192934912,
1764966131.0914156,52.8,83.6,1409760743424,718193008640,
1764966132.0928376,26.4,77.3,1409760849920,718193008640,
1764966133.093895,29.2,79.0,1409760858112,718193491968,
1764966134.0950425,55.2,81.4,1409760858112,718193491968,
1764966135.0960329,44.6,80.8,1409760858112,718193491968,
1764966136.0972452,34.9,82.5,1409761308672,718193491968,
1764966137.0983436,42.4,84.6,1409761308672,718193491968,
1764966138.0993605,50.8,83.8,1409761751040,718203445248,
1764966139.1004808,33.8,85.4,1409762201600,718203445248,
1764966140.1014173,31.8,79.8,1409762201600,718203445248,
1764966141.1024451,59.2,82.0,1409762201600,718203445248,
1764966142.1035874,39.2,82.4,1409762201600,718203445248,
1764966143.1046743,33.8,83.3,1409762635776,718204289024,
1764966144.106219,49.9,82.6,1409762652160,718204289024,
1764966145.1072469,49.7,83.9,1409763086336,718204289024,
1764966146.1082582,34.6,82.4,1409763520512,718204289024,
1764966147.1091304,34.8,80.5,1409763520512,718204289024,
1764966148.110241,62.8,82.9,1409763520512,718204903424,
1764966149.1111856,40.5,82.3,1409763954688,718204936192,
1764966150.1124675,33.2,80.0,1409763954688,718204936192,
1764966151.1136985,50.3,82.6,1409763954688,718204936192,
1764966152.1147244,50.6,83.1,1409764536320,718204936192,
1764966153.1156378,38.7,81.9,1409765560320,718205419520,
1764966154.1166158,31.5,81.8,1409765560320,718216118272,
1764966155.1178155,58.1,83.5,1409765994496,718216118272,
1764966156.118802,36.9,80.4,1409765994496,718216118272,
1764966157.1200259,34.3,80.9,1409765994496,718216118272,
1764966158.1213899,53.4,82.7,1409766002688,718216921088,
1764966159.1223702,48.5,83.1,1409766002688,718216921088,
1764966160.1236498,34.9,86.0,1409766912000,718216921088,
1764966161.1247096,32.5,81.4,1409767321600,718216921088,
1764966162.125641,56.1,80.2,1409767321600,718216921088,
1764966163.126883,36.3,79.7,1409767321600,718217576448,
1764966164.1278386,35.4,80.5,1409767321600,718217576448,
1764966165.1291907,54.4,82.3,1409767321600,718217576448,
1764966166.1302547,47.4,83.0,1409767321600,718217576448,
1764966167.1312358,33.8,85.5,1409768140800,718217576448,
1764966168.1321754,32.1,77.6,1409768550400,718218084352,
1764966169.1331754,62.9,78.3,1409768550400,718226956288,
1764966170.1343873,34.2,79.4,1409768550400,718226956288,
1764966171.13538,34.8,81.1,1409768550400,718226980864,
1764966172.136471,58.1,83.5,1409768550400,718226980864,
1764966173.1376717,47.0,83.3,1409772867584,718227767296,
1764966174.138622,39.7,87.5,1409776594944,718228070400,
1764966175.1397882,40.9,80.5,1409778126848,718270210048,
1764966176.1407402,42.8,76.2,1409778200576,718276018176,
1764966177.1421595,35.8,77.7,1409778200576,718276018176,
1764966178.1432514,36.4,78.6,1409778331648,718276018176,
1764966179.1443415,63.4,81.0,1409778331648,718276018176,
1764966180.1453142,42.6,80.9,1409778331648,718276714496,
1764966181.14655,34.6,81.8,1409778331648,718276714496,
1764966182.1478937,45.3,86.9,1409779503104,718276714496,
1764966183.1487405,48.2,73.1,1409779666944,718283022336,
1764966184.1496387,34.0,74.7,1409779675136,718290460672,
1764966185.1510766,36.2,76.4,1409779675136,718291320832,
1764966186.1521149,60.3,78.4,1409779675136,718291320832,
1764966187.1533604,41.5,78.1,1409779683328,718291320832,
1764966188.1544592,34.4,79.3,1409779683328,718291320832,
1764966189.15577,51.3,83.8,1409780830208,718291320832,
1764966190.1569989,35.4,75.0,1409780830208,718291771392,
1764966191.1580706,33.8,75.7,1409780830208,718291771392,
1764966192.1591702,38.7,77.3,1409780830208,718291771392,
1764966193.1604683,63.8,79.0,1409780830208,718291771392,
1764966194.1614566,38.3,79.2,1409780838400,718291771392,
1764966195.162431,35.2,80.8,1409780854784,718298144768,
1764966196.1635299,53.7,83.4,1409781583872,718298144768,
1764966197.1643584,33.2,74.2,1409781944320,718298144768,
1764966198.165354,32.6,75.6,1409781944320,718298144768,
1764966199.166878,41.9,77.9,1409781944320,718298144768,
1764966200.1679995,63.8,79.2,1409781944320,718298808320,
1764966201.1689863,37.5,79.3,1409781952512,718298808320,
1764966202.1699712,34.2,80.8,1409782304768,718298808320,
1764966203.1711597,55.6,83.5,1409782796288,718298808320,
